TimeS ForcePerMassNperM
0.000000 0.000000
0.008309 0.104433
0.096618 6.589688
0.144928 4.740944
0.193237 6.124062
0.241546 30.675221
0.289855 36.665920
0.338164 36.050263
0.386473 28.441464
0.434783 29.840881
0.483092 28.668148
0.531401 15.287152
0.579710 12.143974
0.628019 11.201393
0.676329 2.039333
0.724638 0.176607
0.772947 0.002186
0.821256 0.000000
0.869565 0.000000
0.917874 0.000000
0.966184 0.000000
1.014493 0.000000
1.062802 0.000000
1.111111 0.000000
1.159420 0.000000
1.207729 0.000000
1.256039 0.000000
1.304348 0.000000
1.352657 0.000000
1.400966 0.000000
1.449275 0.000000
1.497585 0.000000
1.545894 0.000000
1.594203 0.000000
1.642512 0.000000
1.690821 0.000000
1.739130 0.000000
1.787440 0.000000
1.835749 0.000000
1.884058 0.000000
1.932367 0.000000
1.980676 0.000000
2.028986 0.000000
2.077295 0.000000
2.125604 0.000000
2.173913 0.000000
2.222222 0.000000
2.270531 0.000000
2.318841 0.000000
2.367150 0.000000
2.415459 0.000000
2.463768 0.000000
2.512077 0.000000
2.560386 0.000000
2.608696 0.000000
2.657005 0.000000
2.705314 0.000000
2.753623 0.000000
2.801932 0.000000
2.850242 0.000000
2.898551 0.000000
2.946860 0.000000
2.995169 0.000000
3.043478 0.000000
3.091787 0.000000
3.140097 0.000000
3.188406 0.000000
3.236715 0.000000
3.285024 0.000000
3.333333 0.000000
3.381643 0.000000
3.429952 0.000000
3.478261 0.000000
3.526570 0.000000
3.574879 0.000000
3.623188 0.000000
3.671498 0.000000
3.719807 0.000000
3.768116 0.000000
3.816425 0.000000
3.864734 0.000000
3.913043 0.000000
3.961353 0.000000
4.009662 0.000000
4.057971 0.000000
4.106280 0.000000
4.154589 0.000000
4.202899 0.000000
4.251208 0.000000
4.299517 0.000000
4.347826 0.000000
4.396135 0.000000
4.444444 0.000000
4.492754 0.000000
4.541063 0.000000
4.589372 0.000000
4.637681 0.000000
4.685990 0.000000
4.734300 0.000000
4.782609 0.000000
4.830918 0.000000
4.879227 0.000000
4.927536 0.000000
4.975845 0.000000
5.024155 0.000000
