TimeS ForcePerMassNperM
0.000000 0.000000
0.029412 0.000000
0.058824 0.000000
0.088235 0.000000
0.117647 0.000000
0.147059 0.000000
0.176471 0.000000
0.205882 0.000000
0.235294 0.000000
0.264706 0.000000
0.294118 0.000000
0.323529 0.000000
0.352941 0.000000
0.382353 0.000000
0.411765 0.000000
0.441176 0.000000
0.470588 0.000000
0.500000 0.000000
0.529412 0.000000
0.558824 0.000000
0.588235 0.000000
0.617647 0.000000
0.647059 0.000000
0.676471 0.000000
0.705882 0.000000
0.735294 0.000000
0.764706 0.000000
0.794118 0.000000
0.823529 0.000000
0.852941 0.000000
0.882353 0.000000
0.911765 0.000000
0.941176 0.000000
0.970588 0.000000
1.000000 0.000000
1.029412 0.000000
1.058824 0.000000
1.088235 0.000000
1.117647 0.000000
1.147059 0.000000
1.176471 0.000000
1.205882 0.000000
1.235294 0.000000
1.264706 0.000000
1.294118 0.000000
1.323529 0.000000
1.352941 0.000000
1.382353 0.000000
1.411765 0.000000
1.441176 0.000000
1.470588 0.000000
1.500000 0.000000
1.529412 0.000000
1.558824 0.000000
1.588235 0.000000
1.617647 0.000000
1.647059 0.000000
1.676471 0.000000
1.705882 0.000000
1.735294 0.000000
1.764706 0.000000
1.794118 0.000000
1.823529 0.000000
1.852941 0.000000
1.882353 0.000000
1.911765 0.000000
1.941176 0.000000
1.970588 0.000000
2.000000 0.000000
2.029412 0.000000
2.058824 0.000000
2.088235 0.000000
2.117647 0.000000
2.147059 0.000000
2.176471 0.000000
2.205882 0.000000
2.235294 0.221552
2.264706 0.253180
2.294118 0.341198
2.323529 0.447755
2.352941 0.889982
2.382353 1.272809
2.411765 2.044674
2.441176 3.209802
2.470588 5.242449
2.500000 8.294831
2.529412 12.703404
2.558824 18.129644
2.588235 22.369891
2.617647 22.849348
2.647059 21.715978
2.676471 20.232292
2.705882 18.267600
2.735294 15.390834
2.764706 11.206820
2.794118 6.410589
2.823529 2.121425
2.852941 0.507007
2.882353 0.148422
2.911765 0.043533
2.941176 0.008392
2.970588 0.000818
3.000000 0.000818
3.029412 0.000789
3.058824 0.000789
3.088235 0.000789
3.117647 0.000847
3.147059 0.000818
3.176471 0.000789
3.205882 0.000789
3.235294 0.000789
3.264706 0.000789
3.294118 0.000789
3.323529 0.000789
3.352941 0.000789
3.382353 0.000789
3.411765 0.000789
3.441176 0.000789
3.470588 0.000789
3.500000 0.000789
3.529412 0.000789
3.558824 0.000789
3.588235 0.000789
3.617647 0.000789
3.647059 0.000789
3.676471 0.000789
3.705882 0.000789
3.735294 0.000789
3.764706 0.000789
3.794118 0.000789
3.823529 0.000789
3.852941 0.000789
3.882353 0.000789
3.911765 0.000789
3.941176 0.000789
3.970588 0.000789
4.000000 0.000760
4.029412 0.000789
4.058824 0.000000
4.088235 0.000000
4.117647 0.000000
4.147059 0.000000
4.176471 0.000000
4.205882 0.000000
4.235294 0.000000
4.264706 0.000000
4.294118 0.000000
4.323529 0.000000
4.352941 0.000000
4.382353 0.000000
4.411765 0.000000
4.441176 0.000000
4.470588 0.000000
4.500000 0.000000
4.529412 0.000000
4.558824 0.000000
4.588235 0.000000
4.617647 0.000000
4.647059 0.000000
4.676471 0.000000
4.705882 0.000000
4.735294 0.000000
4.764706 0.000000
4.794118 0.000000
4.823529 0.000000
4.852941 0.000000
4.882353 0.000000
4.911765 0.000000
4.941176 0.000000
4.970588 0.000000
5.000000 0.000000
5.029412 0.000000
5.058824 0.000000
5.088235 0.000000
5.117647 0.000000
5.147059 0.000000
5.176471 0.000000
5.205882 0.000000
5.235294 0.000000
5.264706 0.000000
5.294118 0.000000
5.323529 0.000000
5.352941 0.000000
5.382353 0.000000
5.411765 0.000000
5.441176 0.000000
5.470588 0.000000
5.500000 0.000000
5.529412 0.000000
5.558824 0.000000
5.588235 0.000000
5.617647 0.000000
5.647059 0.000000
5.676471 0.000000
5.705882 0.000000
5.735294 0.000000
5.764706 0.000000
5.794118 0.000000
5.823529 0.000000
5.852941 0.000000
5.882353 0.000000
5.911765 0.000000
5.941176 0.000000
5.970588 0.000000
6.000000 0.000000
6.029412 0.000000
